id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,packet span,67,32,29,95,148,watch,baseline,monotonic-signal,raise-signal
m002,g002,retry pressure,51,14,19,66,101,hold,edge,drag-penalty,drop-slack
m003,g003,route drift,51,59,44,28,28,hold,recovery,confidence-floor,raise-drag
m004,g004,socket risk,54,43,5,72,241,ship,negative,lane-boundary,lower-confidence
m005,g005,packet span,68,73,33,75,192,ship,baseline,monotonic-signal,raise-signal
m006,g006,retry pressure,109,44,6,74,350,ship,edge,drag-penalty,drop-slack
m007,g007,route drift,50,49,22,35,123,watch,recovery,confidence-floor,raise-drag
m008,g008,socket risk,68,13,42,50,2,hold,negative,lane-boundary,lower-confidence
m009,g009,packet span,89,33,15,82,251,ship,baseline,monotonic-signal,raise-signal
m010,g010,retry pressure,90,34,45,96,119,watch,edge,drag-penalty,drop-slack
m011,g011,route drift,54,19,48,64,-30,hold,recovery,confidence-floor,raise-drag
m012,g012,socket risk,40,8,40,83,-21,hold,negative,lane-boundary,lower-confidence
m013,g013,packet span,45,75,38,30,80,hold,baseline,monotonic-signal,raise-signal
m014,g014,retry pressure,38,65,21,88,189,ship,edge,drag-penalty,drop-slack
m015,g015,route drift,86,9,42,78,58,hold,recovery,confidence-floor,raise-drag
m016,g016,socket risk,70,13,22,65,121,watch,negative,lane-boundary,lower-confidence
m017,g017,packet span,118,53,17,82,339,ship,baseline,monotonic-signal,raise-signal
m018,g018,retry pressure,44,29,37,46,7,hold,edge,drag-penalty,drop-slack
m019,g019,route drift,103,36,35,75,178,watch,recovery,confidence-floor,raise-drag
m020,g020,socket risk,48,72,4,81,301,ship,negative,lane-boundary,lower-confidence
m021,g021,packet span,121,22,14,65,281,ship,baseline,monotonic-signal,raise-signal
m022,g022,retry pressure,60,24,42,27,-15,hold,edge,drag-penalty,drop-slack
m023,g023,route drift,37,9,43,84,-39,hold,recovery,confidence-floor,raise-drag
m024,g024,socket risk,73,68,14,61,273,ship,negative,lane-boundary,lower-confidence
m025,g025,packet span,104,14,4,73,289,ship,baseline,monotonic-signal,raise-signal
m026,g026,retry pressure,65,30,22,34,114,hold,edge,drag-penalty,drop-slack
